Country,Variety Code,Type,Comm. Name,Registration
AZ,112-516 ,01-001,AQAT F1, 
CN,142-459 ,01-001,SHAYEK F1, 
ES,142-424,01-001,KURMALYNO F1, 
ES,142-424,01-001,ETO F1, 
LV,82-853,01-001,SACHER F1, 
SI,82-853,01-001,SACHER F1, 
UZ,142-424 ,01-001,PELE F1, 
UZ,172-857,01-001,OSK?R F1, 
LT,82-853,01-001,SACHER F1,Registered
LU,82-853,01-001,SACHER F1,Registered
MT,82-853,01-001,SACHER F1,Registered
PO,82-853,01-001,SACHER F1,Registered
PT,82-853,01-001,SACHER F1,Registered
SK,82-853,01-001,SACHER F1,Registered
SL,82-853,01-001,SACHER F1,Registered
SE,82-853,01-001,SACHER F1,Registered
CY,112-516,01-001,€?KO  F1, 
CY,142-424,01-001,ETO F1, 
NL,112-514,01-001,112-514, 
PA,112-516,01-001,ESPRESSO F1, 
AT,82-853,01-001,SACHER F1,Registered
BE,82-853,01-001,SACHER F1,Registered
HR,82-853,01-001,SACHER F1,Registered
CY,82-853,01-001,SACHER F1,Registered
CZ,82-853,01-001,SACHER F1,Registered
DK,82-853,01-001,SACHER F1,Registered
EE,82-853,01-001,SACHER F1,Registered
FI,82-853,01-001,SACHER F1,Registered
FR,82-853,01-001,SACHER F1,Registered
DE,82-853,01-001,SACHER F1,Registered
HU,82-853,01-001,SACHER F1,Registered
IE,82-853,01-001,SACHER F1,Registered
IT,82-853,01-001,SACHER F1,Registered
AD,aaaa,01-001, , 
ES,142-424,01-001,KAFETYN F1,Registered
AT,132-283,01-001,BIG SACHER F1,Under Process
BE,132-283,01-001,BIG SACHER F1,Under Process
BG,132-283,01-001,BIG SACHER F1,Under Process
HR,132-283,01-001,BIG SACHER F1,Under Process
CY,132-283,01-001,BIG SACHER F1,Under Process
CZ,132-283,01-001,BIG SACHER F1,Under Process
DK,132-283,01-001,BIG SACHER F1,Under Process
EE,132-283,01-001,BIG SACHER F1,Under Process
FI,132-283,01-001,BIG SACHER F1,Under Process
FR,132-283,01-001,BIG SACHER F1,Under Process
DE,132-283,01-001,BIG SACHER F1,Under Process
GR,132-283,01-001,BIG SACHER F1,Under Process
HU,132-283,01-001,BIG SACHER F1,Under Process
IE,132-283,01-001,BIG SACHER F1,Under Process
IT,132-283,01-001,BIG SACHER F1,Under Process
LV,132-283,01-001,BIG SACHER F1,Under Process
LT,132-283,01-001,BIG SACHER F1,Under Process
LU,132-283,01-001,BIG SACHER F1,Under Process
MT,132-283,01-001,BIG SACHER F1,Under Process
PO,132-283,01-001,BIG SACHER F1,Under Process
PT,132-283,01-001,BIG SACHER F1,Under Process
SK,132-283,01-001,BIG SACHER F1,Under Process
SL,132-283,01-001,BIG SACHER F1,Under Process
ES,132-283,01-001,BIG SACHER F1,Under Process
SE,132-283,01-001,BIG SACHER F1,Under Process
AT,142-424,01-001,KAFETYN F1,Under Process
BE,142-424,01-001,KAFETYN F1,Under Process
BG,142-424,01-001,KAFETYN F1,Under Process
HR,142-424,01-001,KAFETYN F1,Under Process
CY,142-424,01-001,KAFETYN F1,Under Process
CZ,142-424,01-001,KAFETYN F1,Under Process
DK,142-424,01-001,KAFETYN F1,Under Process
EE,142-424,01-001,KAFETYN F1,Under Process
FI,142-424,01-001,KAFETYN F1,Under Process
FR,142-424,01-001,KAFETYN F1,Under Process
DE,142-424,01-001,KAFETYN F1,Under Process
GR,142-424,01-001,KAFETYN F1,Under Process
HU,142-424,01-001,KAFETYN F1,Under Process
IE,142-424,01-001,KAFETYN F1,Under Process
IT,142-424,01-001,KAFETYN F1,Under Process
LV,142-424,01-001,KAFETYN F1,Under Process
LT,142-424,01-001,KAFETYN F1,Under Process
LU,142-424,01-001,KAFETYN F1,Under Process
MT,142-424,01-001,KAFETYN F1,Under Process
NL,142-424,01-001,KAFETYN F1,Under Process
PO,142-424,01-001,KAFETYN F1,Under Process
PT,142-424,01-001,KAFETYN F1,Under Process
RO,142-424,01-001,KAFETYN F1,Under Process
SK,142-424,01-001,KAFETYN F1,Under Process
SL,142-424,01-001,KAFETYN F1,Under Process
SE,142-424,01-001,KAFETYN F1,Under Process
KZ,172-857,01-001,PANTHER F1, 
LV,72-460,01-002,TIGER  F1, 
BR,142-550 ,01-002,SARI   F1,Registered
NL,152-653,01-002,MAN€O F1, 
NL,142-550,01-002,CHICK F1, 
NL,72-460 ,01-002,TIGER F1, 
BG,122-321,01-002,RED HEART F1, 
GR,122-321,01-002,RED HEART  F1, 
LV,122-321,01-002,RED HEART  F1, 
MX,112-589,01-002,MAI TAI, 
PL,122-321,01-002,RED HEART  F1, 
RO,122-321,01-002,RED HEART  F1, 
AU,122-321 ,01-002,VITAMIN F1, 
AU,132-328 ,01-002,MARBLE F1, 
AU,72-460 ,01-002,TIGER F1, 
AZ,72-460,01-002,TURA€ F1, 
AZ,122-321 ,01-002,ALMAZ F1, 
AZ,142-550 ,01-002,SARI F1, 
BY,72-840,01-002,TIGER F1, 
BY,112-589,01-002,AROMA F1, 
BY,142-550,01-002,MODA F1, 
CA,82-580,01-002,KAHLUA F1, 
CA,72-460,01-002,TIGER F1, 
CA,142-550,01-002,RESPONSE F1, 
CA,132-328,01-002,AZRA F1, 
CA,72-460,01-002,KAPLAN F1, 
CA,142-550,01-002,MODA F1, 
CA,132-328,01-002,M?SKET F1, 
CN,72-460,01-002,AYLIN F1, 
ES,132-328,01-002,FALCONETY F1, 
ES,132-328,01-002,M?SKET F1, 
KR,132-328 ,01-002,MISKET F1, 
MX,82-580,01-002,KAHLUA F1, 
MX,72-460,01-002,TIGER F1, 
MX,132-328,01-002,AZRA F1, 
MX,72-460,01-002,KAPLAN F1, 
MX,142-550,01-002,MODA F1, 
MX,112-589,01-002,AROMA F1, 
MX,132-328,01-002,M?SKET F1, 
PL,72-460,01-002,TIGER F1, 
PL,142-550,01-002,CHICK F1, 
RO,72-460,01-002,TIGER F1, 
RO,142-550,01-002,CHICK F1, 
SI,142-550,01-002,CHICK F1, 
UA,72-840,01-002,TIGER F1, 
UA,112-589,01-002,AROMA F1, 
UA,142-550,01-002,MODA F1, 
US,82-580,01-002,KAHLUA F1, 
