Address Title,Address Line 1,Country,Phone,Email Address,Link Document Type (Links),Link Name (Links),Latitude,Longitude
Agrowind Sh.P.K.,"Autostrada Tirane-Durres Km 22, Xhafzotaj Durres, Albania",Albania,+355 48 300 028,hkurt@yukselseeds.com,Customer,Agrowind Sh.P.K.,41.31666667,19.816667
Big Agri Sarl,"Cit La Bridja, Proproit Nø79, Groupe 3, Staoueli, Algiers / Algeria",Algeria,+213 780 80 60 01,habba@yukselseeds.com,Customer,Big Agri Sarl,36.768883,2.936099
Yuksel Semillas S.L.,"C. Teide, 14, 04700 El Ejido, Almer¡a,Spain",Andorra,+ 34 950 162 116,,Customer,Yuksel Semillas S.L.,,
Summer Seeds,Beltran 896 Lavalle-Mendoza-Argentina,Argentina,+5492616587710,mmuete@yukselseeds.com,Customer,Summer Seeds,,
Cafcakis Seeds Pty. Ltd.,"138 Penfield Road Virginia, South Australia 5120  Australia",Australia,+61408899603,igulsoy@yukselseeds.com,Customer,Cafcakis Seeds Pty. Ltd.,-35.26666667,149.133333
Yuksel Tohum Polska Sp. Z O.O.,"Ul.Skarszewska 42A/13 ,62-800 Kalisz Poland",Austria,+48796682323,bmajda@yukselseeds.com,Customer,Yuksel Tohum Polska Sp. Z O.O.,,
Aqroqrup Mmc,"Bak? ??h?ri,X?z?r Rayonu,Zir? T?r?v?zilik Sdclk Sovxozu",Azerbaijan,+994503736655,igulsoy@yukselseeds.com,Customer,Aqroqrup Mmc,40.378223,49.875198
Golic Trade D.O.O.,Gradiska-Romanovci Bb Gradiska 78400 Bosnia And Herzegovina,Bosnia and Herzegovina,+387 51 890 200,hkurt@yukselseeds.com,Customer,Golic Trade D.O.O.,43.86666667,18.416667
Yuksel Seeds Brasil Ltda,"Rua Aguacu 171 Salas M3 E M4, Bloco Ipe, Loteamento Alphaville, Campinas, Cep 13098-321, Campinas, Sao Paulo",Brazil,+551932620518,obonin@yukselseeds.com,Customer,Yuksel Seeds Brasil Ltda,,
Agris Bulgaria Ltd.,"2L, Samokovsko Shose Str.,1138 Sofia",Bulgaria,+359 2973 7979,hkurt@yukselseeds.com,Customer,Agris Bulgaria Ltd.,42.68333333,23.316667
Plantec,"Amapolas 1290 Oficina 507, Providencia, Santiago, Chile",Chile,+56968392552,info@yukselseeds.com,Customer,Plantec,,
Yksel Tohum China,"Room 710, 4 Building Haixin Long'Ao No.9, 909 Long' Ao North Road, Hi Tech Zone, Jinan China  Post Code: 250101",China,+053180996865,igulsoy@yukselseeds.com,Customer,Yksel Tohum China,36.6866097,117.1155336
Semillas & Insumos del Norte,"Calle 21 #22-70 Piso 1, La Union-Valle del Cauca, Postal Code: 761540",Colombia,(+57)316 4683223,mmuete@yukselseeds.com,Customer,Semillas & Insumos del Norte,,
INTEGRA CROP SAS,"INTEGRA CROP SAS Mall Ciudadela Complex Edificio # 66, RIONEGRO ANTIOQUIA",Colombia,(+57) 315 8500279,mmuete@yukselseeds.com,Customer,INTEGRA CROP SAS,,
DIABONOS COLOMBIA,Diabonos S.A Calle 31 # 44-109 Medell¡n Antioquia,Colombia,(+57)311 7646127,mmuete@yukselseeds.com,Customer,DIABONOS COLOMBIA,,
ABONOS SUPERIOR,"400 MTS OESTE DE LA PLAZA DE FUTBOL DE LA URUCA, Place (Name and ZIP Code) LA URUCA SAN JOSE Country: COSTA RICA, ZIP CODE 1000 SAN JOSE",Costa Rica,(+506)  4036-7900,mmuete@yukselseeds.com,Customer,ABONOS SUPERIOR,,
HORTISEM COSTA RICA,"CRISTIAN ZU¥IGA, Address: APARATADO POSTAL 13-7150, TURRIALBA, COSTA RICA. Postal Code: 30501",Costa Rica,(+506)83359191,mmuete@yukselseeds.com,Customer,HORTISEM COSTA RICA,,
Yuksel Tohum Polska Sp. Z O.O.,"Ul.Skarszewska 42A/13 ,62-800 Kalisz Poland",Croatia,+48796682323,bmajda@yukselseeds.com,Customer,Yuksel Tohum Polska Sp. Z O.O.,,
Yuksel Tohum Polska Sp. Z O.O.,"Ul.Skarszewska 42A/13 ,62-800 Kalisz Poland",Czech Republic,+48796682323,bmajda@yukselseeds.com,Customer,Yuksel Tohum Polska Sp. Z O.O.,,
FERTILIZANTES SANTO DOMINGO,"AVDA Jhon F Kennedy, Esquina Calle Central #60, Ensanche Serralles, Postal Cod: 1405",Dominican Republic,(+1)8298802999,mmuete@yukselseeds.com,Customer,FERTILIZANTES SANTO DOMINGO,,
Agricola Y Pecuaria Todoagro Cia.Ltda,"Avenida Leopoldo Freire, Km 1 Via A Chambo, 060101 Riobamba, Ecuador",Ecuador,,mmuete@yukselseeds.com,Customer,Agricola Y Pecuaria Todoagro Cia.Ltda,,
Vitazad Ltd,"42A,Al Moltaqa Al Arabi Street, New Nozha, 3Rd Floor. Flat 302, Sheraton Helioplis Residence, Cairo",Egypt,+201 00 88 22 509,nalkhatib@yukselseeds.com,Customer,Vitazad Ltd,,
Yksel Tohum Polska Sp. Z O.O.,"Ul.Skarszewska 42A/13 ,62-800 Kalisz Poland",Estonia,+48796682323,hkurt@yukselseeds.com,Customer,Yksel Tohum Polska Sp. Z O.O.,,
Agro Truva Group Llc,"Erekle Ii Lane I House 3 Apartment 19 Tbilsi, Georgia",Georgia,+995555507717,igulsoy@yukselseeds.com,Customer,Agro Truva Group Llc,,
Agroexperts S.A.,245 00 Elea Messinias Greece,Greece,+30 27610 91349,hkurt@yukselseeds.com,Customer,Agroexperts S.A.,,
Yksel Tohum Polska Sp. Z O.O.,"Ul.Skarszewska 42A/13 ,62-800 Kalisz Poland",Hungary,+48796682323,bmajda@yukselseeds.com,Customer,Yksel Tohum Polska Sp. Z O.O.,,
Sabar Agro Seeds,"1, Rajput Samaj Bhuvan Bldg. Station Road, City Himatnagar, Gujarat 383001",India,"+9102772-240984,243984",igulsoy@yukselseeds.com,Customer,Sabar Agro Seeds,28.6,77.2
Mabna Seresht Parsian Co.,"5 th Floor, Negin Africa Tower, Africa Ave., Tehran, Iran",Iran,+982188797175,nalkhatib@yukselseeds.com,Customer,Mabna Seresht Parsian Co.,,
Aftab,262 Dastgerdi Str 19186-13464 Tehran-Iran,Iran,+98 21 2222 2117,nalkhatib@yukselseeds.com,Customer,Aftab,,
House Agri,"Baghdad , Army Canal",Iraq,+964 773 120 0031,nalkhatib@yukselseeds.com,Customer,House Agri,,
JABALY AGRICULTURAL CO,"Madaba street, AL-Yadodeh Area P.O.Box 381 postal code 11592 , Amman-Jordan",Jordan,009626 4128947,nalkhatib@yukselseeds.com,Customer,JABALY AGRICULTURAL CO,,
Too Gerkez Group,"Al Farabi District, Ahmet Baytursin Str. 89/5-30 Shymkent City",Kazakhstan,+77783486303,igulsoy@yukselseeds.com,Customer,Too Gerkez Group,51.960566,66.4025232
Everyacre Kenya,"Wood Avenue, Atraco House Kilimani, P.O 100167 Nairobi, Kenya",Kenya,,habba@yukselseeds.com,Customer,Everyacre Kenya,,
Agrohelp-Sa,Xhelal Hajda Str. Nr. 19 Orahovec Kosovo,Kosovo,+38129276147,hkurt@yukselseeds.com,Customer,Agrohelp-Sa,42.392325,20.645181
Albasateen International For General Trading,"Office 38,10Th Floor,Almuhana A Tower, Salem Mubarak Street, Salmiya- Kuwait",Kuwait,+96550480111,nalkhatib@yukselseeds.com,Customer,Albasateen International For General Trading,,
Agrovetsia Llc,"94 Sun Yat Sen Street, Osh City, Kyrgyz Republic",Kyrgyzstan,+996 (772) 616868,igulsoy@yukselseeds.com,Customer,Agrovetsia Llc,,
Yksel Tohum Polska Sp. Z O.O.,"Ul.Skarszewska 42A/13 ,62-800 Kalisz Poland",Latvia,+48796682323,bmajda@yukselseeds.com,Customer,Yksel Tohum Polska Sp. Z O.O.,,
Suleiman Agricultural Company S.A.R.L.,Beirut Harbor 1504 Bldg - 3Rd Floor - Goerge Haddad St. ? Saifi- Beirut Central District - Lebanon,Lebanon,+9611990941,nalkhatib@yukselseeds.com,Customer,Suleiman Agricultural Company S.A.R.L.,,
Beralsania,"Tajoura Near Yashfin Clinic , Tripoli  , Libya",Libya,+218 912109741,habba@yukselseeds.com,Customer,Beralsania,32.88333333,13.166667
Yksel Tohum Polska Sp. Z O.O.,"Ul.Skarszewska 42A/13 ,62-800 Kalisz Poland",Lithuania,+48796682323,bmajda@yukselseeds.com,Customer,Yksel Tohum Polska Sp. Z O.O.,,
Gwg Sdn Bhd,"40 Jalan Kip 10, Taman Perindustrial Kip,Kepong, 52200 Kuala Lumpur, Malaysia",Malaysia,603 627 555 470,igulsoy@yukselseeds.com,Customer,Gwg Sdn Bhd,3.090646,101.662170
Yuksel Mexico Sa,"Ave. Vallarta eje poniente 6503, Colonia Ciudad Granja, Plaza Concentro, centro de negocios, 45010 Zapopan,ÿJalisco, Mexico",Mexico,,,Customer,Yuksel Mexico Sa,,
Kolomza Company Doo,"Toto?i Bb Magistrala, Ulcinj, Montenegro",Montenegro,+38269205384,hkurt@yukselseeds.com,Customer,Kolomza Company Doo,,
Yuksel Seeds Maroc,"Nø10, App. 2, Lot Al Wiam, Quartier Extentsion Marins Pecheurs, Agadir, Morocco",Morocco,+212 7 02 02 04 05,,Customer,Yuksel Seeds Maroc,,
Yuksel Seeds BV,"Doggevaart 152, 3144 DX Rotterdam, The Netherlands",Netherlands,,habba@yukselseeds.com,Customer,Yuksel Seeds BV,,
South Pacific Seeds Sales (Nz) Ltd.,"12 Alpito Place, Pukekohe 2120",New Zealand,+64 9 239 0890,,Customer,South Pacific Seeds Sales (Nz) Ltd.,,
Dput Geotermika-Teh Export-Import Doo,"Ul. Naseleno Mesto Bez Ulicen Sistem Br. 371 Industriska Zona Vasilevo,Republic Of North Macedonia",North Macedonia,+389 702 72352,hkurt@yukselseeds.com,Customer,Dput Geotermika-Teh Export-Import Doo,,
Yuksel Seed Asia Pvt. Ltd.,Mamoonkanjan Faisalabad Pakistan,Pakistan,+92 413 431400,,Customer,Yuksel Seed Asia Pvt. Ltd.,33.68333333,73.05
Altaqneyat Alzeraiea Co,"Nablus-West Bank, P.O.Box:601",Palestine State,+972 598772 243,nalkhatib@yukselseeds.com,Customer,Altaqneyat Alzeraiea Co,,
Yksel Tohum Polska Sp. Z O.O.,"Ul.Skarszewska 42A/13 ,62-800 Kalisz Poland",Poland,+48796682323,bmajda@yukselseeds.com,Customer,Yksel Tohum Polska Sp. Z O.O.,51.953397,20.145484
Yuksel Semillas S.L.,"C. Teide, 14, 04700 El Ejido, Almer¡a,Spain",Portugal,+ 34 950 162 116,,Customer,Yuksel Semillas S.L.,,
Arab Trading Co.,P.O. Box 100 Doha- State Of Qatar,Qatar,+974 4 500441,nalkhatib@yukselseeds.com,Customer,Arab Trading Co.,,
Yuksel Adrisem,"Rusanesti, Olt Romania",Romania,+40 740 184 044 / 740 270 082,hkurt@yukselseeds.com,Customer,Yuksel Adrisem,44.43333333,26.1
Agroks Ltd.,"Vartanova Street 3, Liter ?Zh?, Second Floor, Building 1-9 Aksay City, 346720  Russia",Russia,,hkurt@yukselseeds.com,Customer,Agroks Ltd.,55.75,37.6
Almuneef Company,"Exit 18, New Kharjo Road,  Riyadh,  Saudi Arabia,P.O. Box: 40477 Code: 11499",Saudi Arabia,+966544443982,nalkhatib@yukselseeds.com,Customer,Almuneef Company,,
Agrohemija Seed Doo,"Kneza Lazara Bb, 16253Brestovac Serbia",Serbia,+381 62 782 820,hkurt@yukselseeds.com,Customer,Agrohemija Seed Doo,42.996408,21.949579
Yuksel Tohum Polska Sp. Z O.O.,"Ul.Skarszewska 42A/13 ,62-800 Kalisz Poland",Slovakia,+48796682323,bmajda@yukselseeds.com,Customer,Yuksel Tohum Polska Sp. Z O.O.,,
Yuksel Tohum Polska Sp. Z O.O.,"Ul.Skarszewska 42A/13 ,62-800 Kalisz Poland",Slovenia,+48796682323,bmajda@yukselseeds.com,Customer,Yuksel Tohum Polska Sp. Z O.O.,,
Hygrotech,"1 Gerard Braak St, Pyramid, Pretoria, Gauteng, 0120, South Africa",South Africa,+27125458009,habba@yukselseeds.com,Customer,Hygrotech,,
Yuksel Semillas S.L.,"C. Teide, 14, 04700 El Ejido, Almer¡a,Spain",Spain,+ 34 950 162 116,,Customer,Yuksel Semillas S.L.,36.772597,-2.812760
Yksel Tohum China,"Room 710, 4 Building Haixin Long'Ao No.9, 909 Long' Ao North Road, Hi Tech Zone, Jinan China  Post Code: 250101",Taiwan,+053180996865,igulsoy@yukselseeds.com,Customer,Yksel Tohum China,,
Too Gerkez Group,"Al Farabi District, Ahmet Baytursin Str. 89/5-30 Shymkent City",Tajikistan,+77783486303,igulsoy@yukselseeds.com,Customer,Too Gerkez Group,51.960566,66.4025232
Masco S.A.R.L,"Rue Habib Bourguiba, Immeuble Louzir, Jemmel Monastir Tunisia",Tunisia,+216 73550751,habba@yukselseeds.com,Customer,Masco S.A.R.L,,
Yksel Tohum,"Kursunlu Mah. Madenler Sok. No:12/A Pk.47 07112, Aksu, Antalya",Turkey,+922424612393,,Customer,Yksel Tohum,,
Ashyrgeldi Basimow,"Ahal Welayat, Anew ? Mkr Geolog Jay No:32-10 A?gabat-Trkmenistan",Turkmenistan,,igulsoy@yukselseeds.com,Customer,Ashyrgeldi Basimow,38.687046,58.900314
Leda N Ltd.,"2/10 Melnikova St., Kyiv 04050 Ukraine",Ukraine,+380 44 481 30 06,hkurt@yukselseeds.com,Customer,Leda N Ltd.,50.43333333,30.516667
Beltrame & Cia Importadores,"Av. 8 De Octubre 3973 Monteviedo , Uruguay",Uruguay,,info@yukselseeds.com,Customer,Beltrame & Cia Importadores,,
Grow Seeds Tashkent Llc,"55. Bogistan Str. Qibray District, Tashkent Redion,Uzbekistan",Uzbekistan,+998 97 401 54 54,igulsoy@yukselseeds.com,Customer,Grow Seeds Tashkent Llc,41.428701,69.488343
Ferreagro Venezuela,Avenida Principal  Local S/N Sector Puente Real Timotes Merida Zona Postal 5125,Venezuela,,mmuete@yukselseeds.com,Customer,Ferreagro Venezuela,,
