ID,Customer Name,Customer Type,Territory,Website,Email Id,Mobile No,Is Internal Customer
Agrowind Sh.P.K.,Agrowind Sh.P.K.,Company,Albania,,hkurt@yukselseeds.com,+355 682 041 060,0
Big Agri Sarl,Big Agri Sarl,Company,Algeria,,habba@yukselseeds.com,+ 213 780 80 60 01,0
Yuksel Semillas S.L.,Yuksel Semillas S.L.,Company,Andorra,,,+34 650 46 81 88,0
Summer Seeds,Summer Seeds,Company,Argentina,www.summerseeds.com.ar,mmuete@yukselseeds.com,,0
Cafcakis Seeds Pty. Ltd.,Cafcakis Seeds Pty. Ltd.,Company,Australia,,igulsoy@yukselseeds.com,61408899603,0
Yuksel Tohum Polska Sp. Z O.O.,Yuksel Tohum Polska Sp. Z O.O.,Company,Austria,www.yukselpolska.pl,bmajda@yukselseeds.com,48605959605,0
Aqroqrup Mmc,Aqroqrup Mmc,Company,Azerbaijan,,igulsoy@yukselseeds.com,994503736655,0
Golic Trade D.O.O.,Golic Trade D.O.O.,Company,Bosnia and Herzegovina,,hkurt@yukselseeds.com,,0
Yuksel Seeds Brasil Ltda,Yuksel Seeds Brasil Ltda,Company,Brazil,,obonin@yukselseeds.com,5519998953188,0
Agris Bulgaria Ltd.,Agris Bulgaria Ltd.,Company,Bulgaria,,hkurt@yukselseeds.com,+359 882 40 41 61,0
Plantec,Plantec,Company,Chile,www.plantec.cl,info@yukselseeds.com,,0
Yuksel Tohum China,Yuksel Tohum China,Company,China,,igulsoy@yukselseeds.com,53180996865,0
Semillas & Insumos del Norte,Semillas & Insumos del Norte,Company,Colombia,,mmuete@yukselseeds.com,,0
INTEGRA CROP SAS,INTEGRA CROP SAS,Company,Colombia,,mmuete@yukselseeds.com,,0
DIABONOS COLOMBIA,DIABONOS COLOMBIA,Company,Colombia,www.diabonos.com,mmuete@yukselseeds.com,,0
ABONOS SUPERIOR,ABONOS SUPERIOR,Company,Costa Rica,www.abonossuperior.com,mmuete@yukselseeds.com,,0
HORTISEM COSTA RICA,HORTISEM COSTA RICA,Company,Costa Rica,,mmuete@yukselseeds.com,,0
Yuksel Tohum Polska Sp. Z O.O.,Yuksel Tohum Polska Sp. Z O.O.,Company,Croatia,www.yukselpolska.pl,bmajda@yukselseeds.com,48605959605,0
Yuksel Tohum Polska Sp. Z O.O.,Yuksel Tohum Polska Sp. Z O.O.,Company,Czech Republic,www.yukselpolska.pl,bmajda@yukselseeds.com,48605959605,0
FERTILIZANTES SANTO DOMINGO,FERTILIZANTES SANTO DOMINGO,Company,Dominican Republic,,mmuete@yukselseeds.com,,0
Agricola Y Pecuaria Todoagro Cia.Ltda,Agricola Y Pecuaria Todoagro Cia.Ltda,Company,Ecuador,www.todoagro.com.ec,mmuete@yukselseeds.com,+593 99 588 9506,0
Vitazad Ltd,Vitazad Ltd,Company,Egypt,,nalkhatib@yukselseeds.com,+201 00 88 22 509,0
Yuksel Tohum Polska Sp. Z O.O.,Yuksel Tohum Polska Sp. Z O.O.,Company,Estonia,,hkurt@yukselseeds.com,48605959605,0
Agro Truva Group Llc,Agro Truva Group Llc,Company,Georgia,,igulsoy@yukselseeds.com,995555507717,0
Agroexperts S.A.,Agroexperts S.A.,Company,Greece,,hkurt@yukselseeds.com,+30 6949680038,0
Yuksel Tohum Polska Sp. Z O.O.,Yuksel Tohum Polska Sp. Z O.O.,Company,Hungary,www.yukselpolska.pl,bmajda@yukselseeds.com,48605959605,0
Sabar Agro Seeds,Sabar Agro Seeds,Company,India,,igulsoy@yukselseeds.com,919979991717,0
Mabna Seresht Parsian Co.,Mabna Seresht Parsian Co.,Company,Iran,,nalkhatib@yukselseeds.com,,0
Aftab,Aftab,Company,Iran,www.aftabseed.ir,nalkhatib@yukselseeds.com,,0
House Agri,House Agri,Company,Iraq,www.houseagri.net,nalkhatib@yukselseeds.com,+964 790 133 0180,0
JABALY AGRICULTURAL CO,JABALY AGRICULTURAL CO,Company,Jordan,,nalkhatib@yukselseeds.com,962 79 6661455,0
Too Gerkez Group,Too Gerkez Group,Company,Kazakhstan,,igulsoy@yukselseeds.com,77783486303,0
Everyacre Kenya,Everyacre Kenya,Company,Kenya,,habba@yukselseeds.com,254111999404,0
Agrohelp-Sa,Agrohelp-Sa,Company,Kosovo,,hkurt@yukselseeds.com,37744230613,0
