segment_name,crop,code
Indeterminate Cherry Tomato,Tomato,01-004
Indeterminate Heirloom Tomato,Tomato,01-006
Determinate Round Tomato,Tomato,01-007
Indeterminate Cluster Tomato,Tomato,01-008
Indeterminate Beef Tomato,Tomato,01-009
Indeterminate Pink Tomato,Tomato,01-010
Indeterminate Saladette Tomato,Tomato,01-011
Indeterminate Round Tomato,Tomato,01-013
Indeterminate Open Field Tomato,Tomato,01-014
Ind. Cocktail Oval Tomato,Tomato,01-015
Ind. Cocktail Round Tomato,Tomato,01-016
Indeterminate Miniplum Tomato,Tomato,01-017
Determinate Beef Tomato,Tomato,01-018
Determinate Saladette Tomato,Tomato,01-019
Determinate Cherry Tomato,Tomato,01-020
Sivri Pepper,Pepper,02-001
Thin Sivri Pepper,Pepper,02-002
Charleston Pepper,Pepper,02-003
Ucburun Pepper,Pepper,02-004
Dolma Pepper,Pepper,02-005
Blocky Pepper,Pepper,02-006
Hungarian Pepper,Pepper,02-007
Kapia Pepper,Pepper,02-008
Jalapeno Pepper,Pepper,02-009
Italian Pepper,Pepper,02-010
Lamuyo Pepper,Pepper,02-011
Mini Snack Pepper,Pepper,02-012
Chili Pepper,Pepper,02-013
Cylindrical Eggplant,Eggplant,03-001
Half Oval Eggplant,Eggplant,03-002
Round Eggplant,Eggplant,03-003
Dutch Cucumber,Cucumber,04-001
Pickle Cucumber,Cucumber,04-002
Gherkin Cucumber,Cucumber,04-003
Baby Cucumber,Cucumber,04-004
Beit Alpha Cucumber,Cucumber,04-005
Slicer Cucumber,Cucumber,04-007
Chinese Cucumber,Cucumber,04-008
Piel De Sapo Melon,Melon,05-001
Charentais Melon,Melon,05-002
Canary Melon,Melon,05-003
Galia Melon,Melon,05-004
Ananas Melon,Melon,05-005
Cantaloupe Melon,Melon,05-006
Kirkagac Melon,Melon,05-007
Samsori Melon,Melon,05-008
Western Shipping Melon,Melon,05-009
Eastern Shipping Melon,Melon,05-010
Honeydew Melon,Melon,05-011
Asian Melon,Melon,05-012
Harper Melon,Melon,05-013
Dalmation Melon,Melon,05-014
Crimson Sweet Watermelon,Watermelon,06-001
Sugar Baby Watermelon,Watermelon,06-002
Charleston Gray Watermelon,Watermelon,06-003
Personal Size Watermelon,Watermelon,06-004
Yellow Skin Watermelon,Watermelon,06-005
Flat Bean,Bean,07-001
Broccoli,Broccoli,08-001
Curly Lettuce,Lettuce,09-001
Romaine Lettuce,Lettuce,09-002
Iceberg Lettuce,Lettuce,09-003
Cylindrical Squash,Zucchini,10-001
Round Squash,Zucchini,10-002
Bitter Gourd,Bitter Gourd,11-001
Tomato Rootstock,Rootstock,12-001
Squash Rootstock,Rootstock,12-002
Eggplant Rootstock,Rootstock,12-003
Squash Rootstock 2,Rootstock,12-004
Onion,Onion,13-001
Yellow Onion,Onion,13-002
Red Onion,Onion,13-003
White Onion,Onion,13-004
Yellow Potato,Potato,14-001
White Potato,Potato,14-002
Red Potato,Potato,14-003
Cauliflower,Cauliflower,15-001
Eggplant Rootstock 2,Tomato Rootstock,16-001
Flat Cabbage,Cabbage,17-001
Round Cabbage,Cabbage,17-002
Cylindrical Carrot,Carrot,19-001
Sweet Corn,Maize,20-001
Super Sweet Corn (Sh2),Maize,20-002
Silage Maize,Maize,20-003
Grain Maize,Maize,20-004
Sweet Corn 2,Sweet Corn,21-001
