variety_name,crop,segment,plant_characteristics,fruit_characteristics,resistance_codes,cultivation_environment,description,variety_names.country,variety_names.commercial_name,variety_names.registration_status
102-263,Tomato,,"Indeterminate loose tomato, vigorous plant,high yield.","Red color, round and firm flesh fruit, 280 - 320 g, long shelf life.","HR: ToMV, Vd, Va, F 0-1, For  / IR: Ma, Mi, Mj, TYLCV, TSWV.",Winter and spring seasons in greenhouse.,"Plant: Indeterminate loose tomato, vigorous plant,high yield.
Fruit: Red color, round and firm flesh fruit, 280 - 320 g, long shelf life.
Cultivation: Winter and spring seasons in greenhouse.",Mexico,CENTURION F1,In Progress
102-263,,,,,,,,Romania,NEMESIS F1,In Progress
102-263,,,,,,,,Panama,CENTURION F1,In Progress
102-263,,,,,,,,Austria,NEMESIS F1,Registered
102-263,,,,,,,,Belgium,NEMESIS F1,Registered
102-263,,,,,,,,Bulgaria,NEMESIS F1,Registered
102-263,,,,,,,,Croatia,NEMESIS F1,Registered
102-263,,,,,,,,Cyprus,NEMESIS F1,Registered
102-263,,,,,,,,Czech Republic,NEMESIS F1,Registered
102-263,,,,,,,,Denmark,NEMESIS F1,Registered
102-263,,,,,,,,Estonia,NEMESIS F1,Registered
102-263,,,,,,,,Finland,NEMESIS F1,Registered
102-263,,,,,,,,France,NEMESIS F1,Registered
102-263,,,,,,,,Germany,NEMESIS F1,Registered
102-263,,,,,,,,Greece,NEMESIS F1,Registered
102-263,,,,,,,,Hungary,NEMESIS F1,Registered
102-263,,,,,,,,Ireland,NEMESIS F1,Registered
102-263,,,,,,,,Italy,NEMESIS F1,Registered
102-263,,,,,,,,Latvia,NEMESIS F1,Registered
102-263,,,,,,,,Lithuania,NEMESIS F1,Registered
102-263,,,,,,,,Luxembourg,NEMESIS F1,Registered
102-263,,,,,,,,Malta,NEMESIS F1,Registered
102-263,,,,,,,,Netherlands,NEMESIS F1,Registered
102-263,,,,,,,,Poland,NEMESIS F1,Registered
102-263,,,,,,,,Portugal,NEMESIS F1,Registered
102-263,,,,,,,,Slovakia,NEMESIS F1,Registered
102-263,,,,,,,,Sierra Leone,NEMESIS F1,Registered
102-263,,,,,,,,Spain,NEMESIS F1,Registered
102-263,,,,,,,,Sweden,NEMESIS F1,Registered
102-263,,,,,,,,South Korea,NEMESIS F1,In Progress
102-263,,,,,,,,Portugal,NEMESIS F1,In Progress
102-263,,,,,,,,Saudi Arabia,MALIHA F1,In Progress
102-263,,,,,,,,Netherlands,NEMESIS F1,Registered
102-263,,,,,,,,Qatar,AMAL F1,In Progress
102-263,,,,,,,,United States,NEMESIS F1,In Progress
102-263,,,,,,,,Australia,KALYON F1,In Progress
102-409,Tomato,,"Indeterminate loose tomato, short internodes, vigorous plant, good leaf coverage.","Red color, slightly flat, firm, 200-250 gr.","HR: ToMV, Va, Vd, Fol 0-1, For, Ff A-E / IR: TYLCV, TSWV, Ma, Mi, Mj, ToBRFV, Ss",Spring season in greenhouse and open field.,"Plant: Indeterminate loose tomato, short internodes, vigorous plant, good leaf coverage.
Fruit: Red color, slightly flat, firm, 200-250 gr.
Cultivation: Spring season in greenhouse and open field.",Egypt,CEMAL F1,In Progress
102-409,,,,,,,,Egypt,102-409 F1,In Progress
102-409,,,,,,,,Morocco,CEMAL F1,In Progress
102-409,,,,,,,,Morocco,BYSONTE F1,In Progress
102-409,,,,,,,,Morocco,TRUANO F1,In Progress
102-409,,,,,,,,Qatar,CEMAL F1,In Progress
102-409,,,,,,,,Qatar,102-409 F1,In Progress
102-409,,,,,,,,Cyprus,CEMAL F1,In Progress
102-409,,,,,,,,Brazil,TROYANO F1,Registered
102-409,,,,,,,,Spain,DECANO F1,In Progress
102-409,,,,,,,,Argentina,102-409 F1,In Progress
102-409,,,,,,,,Iraq,102-409 F1,In Progress
102-409,,,,,,,,Argentina,BERKAN F1,In Progress
102-409,,,,,,,,Uruguay,102-409 F1,In Progress
102-409,,,,,,,,Spain,FLAMINIA F1,In Progress
102-416,Tomato,,"Indeterminate beef Tomato, vigorous plant, short internodes.","Red color, firm, 4-5 fruits per cluster, 300-350 g, very nice aroma.","HR: ToMV, Vd, Va, Fol 0-1, For, Ff A-B / IR: Ma, Mi, Mj, TYLCV, TSWV",Autumn and spring seasons in greenhouse.,"Plant: Indeterminate beef Tomato, vigorous plant, short internodes.
Fruit: Red color, firm, 4-5 fruits per cluster, 300-350 g, very nice aroma.
Cultivation: Autumn and spring seasons in greenhouse.",United States,CARDINAL F1,In Progress
102-416,,,,,,,,United Arab Emirates,ASYA F1,In Progress
102-416,,,,,,,,United Arab Emirates,102-416 F1,In Progress
102-416,,,,,,,,Albania,ASYA F1,In Progress
102-416,,,,,,,,Bosnia and Herzegovina,ASYA F1,In Progress
102-416,,,,,,,,Bulgaria,EURASIA F1,In Progress
102-416,,,,,,,,Belarus,ASYA F1,In Progress
102-416,,,,,,,,Serbia,ASYA F1,In Progress
102-416,,,,,,,,Greece,EURASIA F1,In Progress
102-416,,,,,,,,Kazakhstan,ASEM F1,In Progress
102-416,,,,,,,,Latvia,EURASIA F1,In Progress
102-416,,,,,,,,Montenegro,EURASIA F1,In Progress
102-416,,,,,,,,Mexico,OWL F1,In Progress
102-416,,,,,,,,Mexico,ASYA F1,In Progress
102-416,,,,,,,,Poland,EURASIA F1,In Progress
102-416,,,,,,,,Romania,EURASIA F1,In Progress
102-416,,,,,,,,Ukraine,ASYA F1,In Progress
102-416,,,,,,,,United States,OWL F1,In Progress
102-416,,,,,,,,United States,ASYA F1,In Progress
102-416,,,,,,,,Kosovo,ASYA F1,In Progress
102-416,,,,,,,,Serbia,ASIA F1,In Progress
102-416,,,,,,,,Netherlands,ASIA F1,In Progress
102-416,,,,,,,,Cyprus,ASYA F1,In Progress
102-416,,,,,,,,Panama,OWL F1,In Progress
102-416,,,,,,,,South Korea,102-416 F1,In Progress
102-416,,,,,,,,Austria,EURASIA F1,Registered
102-416,,,,,,,,Belgium,EURASIA F1,Registered
102-416,,,,,,,,Croatia,EURASIA F1,Registered
102-416,,,,,,,,Cyprus,EURASIA F1,Registered
102-416,,,,,,,,Czech Republic,EURASIA F1,Registered
102-416,,,,,,,,Denmark,EURASIA F1,Registered
102-416,,,,,,,,Estonia,EURASIA F1,Registered
102-416,,,,,,,,Finland,EURASIA F1,Registered
102-416,,,,,,,,France,EURASIA F1,Registered
102-416,,,,,,,,Germany,EURASIA F1,Registered
102-416,,,,,,,,Hungary,EURASIA F1,Registered
102-416,,,,,,,,Ireland,EURASIA F1,Registered
102-416,,,,,,,,Italy,EURASIA F1,Registered
102-416,,,,,,,,Lithuania,EURASIA F1,Registered
102-416,,,,,,,,Luxembourg,EURASIA F1,Registered
102-416,,,,,,,,Malta,EURASIA F1,Registered
102-416,,,,,,,,Netherlands,EURASIA F1,Registered
102-416,,,,,,,,Poland,EURASIA F1,Registered
102-416,,,,,,,,Portugal,EURASIA F1,Registered
102-416,,,,,,,,Slovakia,EURASIA F1,Registered
102-416,,,,,,,,Sierra Leone,EURASIA F1,Registered
102-416,,,,,,,,Spain,EURASIA F1,Registered
102-416,,,,,,,,Sweden,EURASIA F1,Registered
102-472,Tomato,,"Indeterminate cluster tomato, early, open plant, short internodes.","Round, very firm, red color, 90
- 100 g.","HR: ToMV, Vd, Va, Fol 0-1 / IR: TYLCV, TSWV, ToBRFV",Autumn and spring seasons in greenhouse.,"Plant: Indeterminate cluster tomato, early, open plant, short internodes.
Fruit: Round, very firm, red color, 90
- 100 g.
Cultivation: Autumn and spring seasons in greenhouse.",Netherlands,REDROCK F1,In Progress
102-472,,,,,,,,Italy,REDROCK F1,In Progress
102-472,,,,,,,,Austria,REDROCK F1,In Progress
102-472,,,,,,,,Belgium,REDROCK F1,In Progress
102-472,,,,,,,,Bulgaria,REDROCK F1,In Progress
102-472,,,,,,,,Croatia,REDROCK F1,In Progress
102-472,,,,,,,,Cyprus,REDROCK F1,In Progress
102-472,,,,,,,,Czech Republic,REDROCK F1,In Progress
102-472,,,,,,,,Denmark,REDROCK F1,In Progress
102-472,,,,,,,,Estonia,REDROCK F1,In Progress
102-472,,,,,,,,Finland,REDROCK F1,In Progress
102-472,,,,,,,,France,REDROCK F1,In Progress
102-472,,,,,,,,Germany,REDROCK F1,In Progress
102-472,,,,,,,,Greece,REDROCK F1,In Progress
102-472,,,,,,,,Hungary,REDROCK F1,In Progress
102-472,,,,,,,,Ireland,REDROCK F1,In Progress
102-472,,,,,,,,Latvia,REDROCK F1,In Progress
102-472,,,,,,,,Lithuania,REDROCK F1,In Progress
102-472,,,,,,,,Luxembourg,REDROCK F1,In Progress
102-472,,,,,,,,Malta,REDROCK F1,In Progress
102-472,,,,,,,,Poland,REDROCK F1,In Progress
102-472,,,,,,,,Portugal,REDROCK F1,In Progress
102-472,,,,,,,,Romania,REDROCK F1,In Progress
102-472,,,,,,,,Slovakia,REDROCK F1,In Progress
102-472,,,,,,,,Sierra Leone,REDROCK F1,In Progress
102-472,,,,,,,,Spain,REDROCK F1,In Progress
102-472,,,,,,,,Sweden,REDROCK F1,In Progress
102-472,,,,,,,,Spain,KERRY F1,In Progress
102-477,Tomato,,"Indeterminate cluster tomato, vigorous plant, very good cluster shape, early.","Red color, firm, 5-7 fruits per cluster, 130-140 g, long shelf life.","HR: ToMV, Va, Vd, Fol 0-1/ IR: TYLCV, TSWV",Autumn and spring seasons in greenhouse and open field.,"Plant: Indeterminate cluster tomato, vigorous plant, very good cluster shape, early.
Fruit: Red color, firm, 5-7 fruits per cluster, 130-140 g, long shelf life.
Cultivation: Autumn and spring seasons in greenhouse and open field.",India,LUPIN F1,In Progress
102-477,,,,,,,,Azerbaijan,RUBA? F1,In Progress
102-477,,,,,,,,Azerbaijan,ULDUZ F1,In Progress
102-477,,,,,,,,Kyrgyzstan,GUZEL F1,In Progress
102-477,,,,,,,,Lebanon,MERKR F1,In Progress
102-477,,,,,,,,Lebanon,MERKUR F1,In Progress
102-477,,,,,,,,Finland,FLIRTY F1,Registered
102-477,,,,,,,,Croatia,FLIRTY F1,Registered
102-477,,,,,,,,Cyprus,FLIRTY F1,Registered
102-477,,,,,,,,Czech Republic,FLIRTY F1,Registered
102-477,,,,,,,,Denmark,FLIRTY F1,Registered
102-477,,,,,,,,Estonia,FLIRTY F1,Registered
102-477,,,,,,,,Italy,FLIRTY F1,In Progress
102-477,,,,,,,,Azerbaijan,DIZI F1,In Progress
102-477,,,,,,,,Austria,FLIRTY F1,Registered
102-477,,,,,,,,Belgium,FLIRTY F1,Registered
102-477,,,,,,,,Bulgaria,FLIRTY F1,Registered
102-477,,,,,,,,Slovakia,FLIRTY F1,Registered
102-477,,,,,,,,Sierra Leone,FLIRTY F1,Registered
102-477,,,,,,,,Spain,FLIRTY F1,Registered
102-477,,,,,,,,Sweden,FLIRTY F1,Registered
102-477,,,,,,,,Netherlands,FLIRTY F1,In Progress
102-477,,,,,,,,Cyprus,MERKR F1,In Progress
102-477,,,,,,,,Lithuania,FLIRTY F1,Registered
102-477,,,,,,,,Luxembourg,FLIRTY F1,Registered
102-477,,,,,,,,Malta,FLIRTY F1,Registered
102-477,,,,,,,,Poland,FLIRTY F1,Registered
102-477,,,,,,,,Portugal,FLIRTY F1,Registered
102-477,,,,,,,,Romania,FLIRTY F1,Registered
102-477,,,,,,,,France,FLIRTY F1,Registered
102-477,,,,,,,,Germany,FLIRTY F1,Registered
102-477,,,,,,,,Greece,FLIRTY F1,Registered
102-477,,,,,,,,Hungary,FLIRTY F1,Registered
102-477,,,,,,,,Ireland,FLIRTY F1,Registered
102-477,,,,,,,,Latvia,FLIRTY F1,Registered
102-477,,,,,,,,Jordan,MERCURE F1,In Progress
102-477,,,,,,,,India,LUPIN F1,In Progress
102-638,Tomato,,"Indeterminate cherry Tomato, very early, short internodes.","Red color, firm, high quality and productivity, 10-15 gr.","HR: ToMV, Va, Vd, Fol 0-1, /IR: Ma, Mi, Mj, TYLCV",Autumn and spring seasons in greenhouse.,"Plant: Indeterminate cherry Tomato, very early, short internodes.
Fruit: Red color, firm, high quality and productivity, 10-15 gr.
Cultivation: Autumn and spring seasons in greenhouse.",United Arab Emirates,ROTANA F1,In Progress
102-638,,,,,,,,Azerbaijan,ELEMDAR F1,In Progress
102-638,,,,,,,,Jordan,YENICERI F1,In Progress
102-638,,,,,,,,South Korea,NEWCHERRY F1,In Progress
102-638,,,,,,,,Morocco,ILIANA F1,Registered
102-638,,,,,,,,Netherlands,102-638 F1,In Progress
102-638,,,,,,,,Montenegro,YENICERI F1,In Progress
102-638,,,,,,,,Saudi Arabia,REVERA F1,Registered
102-638,,,,,,,,Turkmenistan,GYZYL ER? F1,In Progress
102-79,Tomato,,"Indeterminate tomato, very vigorous, early, tolerance cold weather.","Red color, slightly flat, firm, 180-200 gr.","HR: ToMV, Vd, Va, Fol 0-1 / IR: TYLCV",Autumn and winter seasons in greenhouse.,"Plant: Indeterminate tomato, very vigorous, early, tolerance cold weather.
Fruit: Red color, slightly flat, firm, 180-200 gr.
Cultivation: Autumn and winter seasons in greenhouse.",Kyrgyzstan,LARA F1,In Progress
102-79,,,,,,,,Uzbekistan,1956 F1,In Progress
102-79,,,,,,,,Cyprus,GNL  F1,In Progress
102-79,,,,,,,,Egypt,ANTALYA F1,In Progress
112-05,Tomato,,"Indeterminate loose tomato, winter crop for long cycle, very strong plant.
HR:ToMV, Fol 0-1, Va, Vd / IR: TYLCV, Ma, Mi, Mj","Red color, round, 5-6 fruits per cluster, 180-200 g.",,Winter season in greenhouse.,"Plant: Indeterminate loose tomato, winter crop for long cycle, very strong plant.
HR:ToMV, Fol 0-1, Va, Vd / IR: TYLCV, Ma, Mi, Mj
Fruit: Red color, round, 5-6 fruits per cluster, 180-200 g.
Cultivation: Winter season in greenhouse.",Spain,BYSONTE F1,In Progress
112-05,,,,,,,,Mexico,BYSONTE F1,In Progress
112-05,,,,,,,,Austria,BYSONTE F1,Registered
112-05,,,,,,,,Belgium,BYSONTE F1,Registered
112-05,,,,,,,,Bulgaria,BYSONTE F1,Registered
112-05,,,,,,,,Croatia,BYSONTE F1,Registered
112-05,,,,,,,,Cyprus,BYSONTE F1,Registered
112-05,,,,,,,,Czech Republic,BYSONTE F1,Registered
112-05,,,,,,,,Denmark,BYSONTE F1,Registered
112-05,,,,,,,,Estonia,BYSONTE F1,Registered
112-05,,,,,,,,Finland,BYSONTE F1,Registered
112-05,,,,,,,,France,BYSONTE F1,Registered
112-05,,,,,,,,Germany,BYSONTE F1,Registered
112-05,,,,,,,,Greece,BYSONTE F1,Registered
112-05,,,,,,,,Hungary,BYSONTE F1,Registered
